base_question,folded_questions,query
Counts of patients taking drug <ARG-DRUG><0> and <ARG-DRUG><1>.,<SYN-ARG-calculate/tell me> how many <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-taking/take/are treated with/are on/under/receive/have treatment with/took/were treated with/were treated by/were on/were under/had treatment with/had received> <ARG-DRUG><0> and <ARG-DRUG><1>.,SELECT COUNT( DISTINCT dr1.person_id) FROM ((<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) JOIN (<SCHEMA>.drug_exposure dr2 JOIN <DRUG-TEMPLATE><ARG-DRUG><1> ON dr2.drug_concept_id=concept_id) ON dr1.person_id=dr2.person_id);
Counts of patients taking drug <ARG-DRUG><0> and <ARG-DRUG><1>.,<SYN-ARG-calculate/tell me> what is the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> who <SYN-ARG-taking/take/are treated with/are on/under/receive/have treatment with/took/were treated with/were treated by/were on/were under/had treatment with/had received> <SYN-ARG-all of the following/all of these> <SYN-ARG-drugs/drug/medicine/medical drugs/medical drug/medications/medication/medicaments/medicament> <ARG-DRUG><0> and <ARG-DRUG><1>.,SELECT COUNT( DISTINCT dr1.person_id) FROM ((<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) JOIN (<SCHEMA>.drug_exposure dr2 JOIN <DRUG-TEMPLATE><ARG-DRUG><1> ON dr2.drug_concept_id=concept_id) ON dr1.person_id=dr2.person_id);
Counts of patients taking drug <ARG-DRUG><0> and <ARG-DRUG><1>.,"<SYN-ARG-calculate/what's/what is/tell me> the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> taking <SYN-ARG-all of the following/all of these> <ARG-DRUG><0>, <ARG-DRUG><1>.",SELECT COUNT( DISTINCT dr1.person_id) FROM ((<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) JOIN (<SCHEMA>.drug_exposure dr2 JOIN <DRUG-TEMPLATE><ARG-DRUG><1> ON dr2.drug_concept_id=concept_id) ON dr1.person_id=dr2.person_id);
Counts of patients taking drug <ARG-DRUG><0> or <ARG-DRUG><1>.,<SYN-ARG-calculate/tell me> what is the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> who <SYN-ARG-taking/take/are treated with/are on/under/receive/have treatment with/took/were treated with/were treated by/were on/were under/had treatment with/had received> <SYN-ARG-one of/one of the following/one of these> <SYN-ARG-drugs/drug/medicine/medical drugs/medical drug/medications/medication/medicaments/medicament> <ARG-DRUG><0> or <ARG-DRUG><1>.,SELECT COUNT( DISTINCT dr1.person_id) FROM (<SCHEMA>.drug_exposure dr1 JOIN (<DRUG-TEMPLATE><ARG-DRUG><0> UNION <DRUG-TEMPLATE><ARG-DRUG><1>) ON dr1.drug_concept_id=concept_id);
Counts of patients taking drug <ARG-DRUG><0> or <ARG-DRUG><1>.,"<SYN-ARG-calculate/what's/what is/tell me> the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> taking <SYN-ARG-one of/one of the following/one of these> <ARG-DRUG><0>, <ARG-DRUG><1>.",SELECT COUNT( DISTINCT dr1.person_id) FROM (<SCHEMA>.drug_exposure dr1 JOIN (<DRUG-TEMPLATE><ARG-DRUG><0> UNION <DRUG-TEMPLATE><ARG-DRUG><1>) ON dr1.drug_concept_id=concept_id);
Counts of patients taking drug <ARG-DRUG><0> or <ARG-DRUG><1>.,<SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> got <ARG-DRUG><0> or <ARG-DRUG><1> <SYN-ARG-prescription/administration>.,SELECT COUNT( DISTINCT dr1.person_id) FROM (<SCHEMA>.drug_exposure dr1 JOIN (<DRUG-TEMPLATE><ARG-DRUG><0> UNION <DRUG-TEMPLATE><ARG-DRUG><1>) ON dr1.drug_concept_id=concept_id);
Counts of patients taking drug <ARG-DRUG><0> or <ARG-DRUG><1>.,<SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> taking <SYN-ARG-one of/one of the following/one of these> <SYN-ARG-drugs/drug/medicine/medical drugs/medical drug/medications/medication/medicaments/medicament> <ARG-DRUG><0> or <ARG-DRUG><1>.,SELECT COUNT( DISTINCT dr1.person_id) FROM (<SCHEMA>.drug_exposure dr1 JOIN (<DRUG-TEMPLATE><ARG-DRUG><0> UNION <DRUG-TEMPLATE><ARG-DRUG><1>) ON dr1.drug_concept_id=concept_id);
Counts of patients taking drug <ARG-DRUG><0> or <ARG-DRUG><1>.,<SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> taking <SYN-ARG-one of/one of the following/one of these> <ARG-DRUG><0> or <ARG-DRUG><1>.,SELECT COUNT( DISTINCT dr1.person_id) FROM (<SCHEMA>.drug_exposure dr1 JOIN (<DRUG-TEMPLATE><ARG-DRUG><0> UNION <DRUG-TEMPLATE><ARG-DRUG><1>) ON dr1.drug_concept_id=concept_id);
Counts of patients taking drug <ARG-DRUG><0> or <ARG-DRUG><1>.,How many <SYN-ARG-patients/people/persons/individuals/subjects> got <ARG-DRUG><0> or <ARG-DRUG><1> <SYN-ARG-prescription/administration>?,SELECT COUNT( DISTINCT dr1.person_id) FROM (<SCHEMA>.drug_exposure dr1 JOIN (<DRUG-TEMPLATE><ARG-DRUG><0> UNION <DRUG-TEMPLATE><ARG-DRUG><1>) ON dr1.drug_concept_id=concept_id);
Counts of patients taking drug <ARG-DRUG><0> or <ARG-DRUG><1>.,<SYN-ARG-calculate/tell me> how many <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-taking/take/are treated with/are on/under/receive/have treatment with/took/were treated with/were treated by/were on/were under/had treatment with/had received> <ARG-DRUG><0> or <ARG-DRUG><1>.,SELECT COUNT( DISTINCT dr1.person_id) FROM (<SCHEMA>.drug_exposure dr1 JOIN (<DRUG-TEMPLATE><ARG-DRUG><0> UNION <DRUG-TEMPLATE><ARG-DRUG><1>) ON dr1.drug_concept_id=concept_id);
Counts of patients taking drug <ARG-DRUG><0> or <ARG-DRUG><1>.,What is the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> who <SYN-ARG-taking/take/are treated with/are on/under/receive/have treatment with/took/were treated with/were treated by/were on/were under/had treatment with/had received> <SYN-ARG-one of/one of the following/one of these> <ARG-DRUG><0> or <ARG-DRUG><1>?,SELECT COUNT( DISTINCT dr1.person_id) FROM (<SCHEMA>.drug_exposure dr1 JOIN (<DRUG-TEMPLATE><ARG-DRUG><0> UNION <DRUG-TEMPLATE><ARG-DRUG><1>) ON dr1.drug_concept_id=concept_id);
Counts of patients taking drug <ARG-DRUG><0> or <ARG-DRUG><1>.,<SYN-ARG-calculate/tell me> <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-taking/take/are treated with/are on/under/receive/have treatment with/took/were treated with/were treated by/were on/were under/had treatment with/had received> <ARG-DRUG><0> or <ARG-DRUG><1>.,SELECT COUNT( DISTINCT dr1.person_id) FROM (<SCHEMA>.drug_exposure dr1 JOIN (<DRUG-TEMPLATE><ARG-DRUG><0> UNION <DRUG-TEMPLATE><ARG-DRUG><1>) ON dr1.drug_concept_id=concept_id);
Counts of patients taking drug <ARG-DRUG><0> or <ARG-DRUG><1>.,<SYN-ARG-calculate/tell me> what is the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> who <SYN-ARG-taking/take/are treated with/are on/under/receive/have treatment with/took/were treated with/were treated by/were on/were under/had treatment with/had received> <SYN-ARG-one of/one of the following/one of these> <ARG-DRUG><0> or <ARG-DRUG><1>.,SELECT COUNT( DISTINCT dr1.person_id) FROM (<SCHEMA>.drug_exposure dr1 JOIN (<DRUG-TEMPLATE><ARG-DRUG><0> UNION <DRUG-TEMPLATE><ARG-DRUG><1>) ON dr1.drug_concept_id=concept_id);
Counts of patients taking drug <ARG-DRUG><0> or <ARG-DRUG><1>.,<SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-taking/take/are treated with/are on/under/receive/have treatment with/took/were treated with/were treated by/were on/were under/had treatment with/had received> <ARG-DRUG><0> or <ARG-DRUG><1>.,SELECT COUNT( DISTINCT dr1.person_id) FROM (<SCHEMA>.drug_exposure dr1 JOIN (<DRUG-TEMPLATE><ARG-DRUG><0> UNION <DRUG-TEMPLATE><ARG-DRUG><1>) ON dr1.drug_concept_id=concept_id);
Counts of patients taking drug <ARG-DRUG><0> or <ARG-DRUG><1>.,<SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> with <ARG-DRUG><0> or <ARG-DRUG><1> <SYN-ARG-prescribed/administered>.,SELECT COUNT( DISTINCT dr1.person_id) FROM (<SCHEMA>.drug_exposure dr1 JOIN (<DRUG-TEMPLATE><ARG-DRUG><0> UNION <DRUG-TEMPLATE><ARG-DRUG><1>) ON dr1.drug_concept_id=concept_id);
Counts of patients taking drug <ARG-DRUG><0> or <ARG-DRUG><1>.,"<SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> taking <SYN-ARG-one of/one of the following/one of these> <ARG-DRUG><0>, <ARG-DRUG><1>.",SELECT COUNT( DISTINCT dr1.person_id) FROM (<SCHEMA>.drug_exposure dr1 JOIN (<DRUG-TEMPLATE><ARG-DRUG><0> UNION <DRUG-TEMPLATE><ARG-DRUG><1>) ON dr1.drug_concept_id=concept_id);
Counts of patients taking drug <ARG-DRUG><0> or <ARG-DRUG><1>.,<SYN-ARG-calculate/what's/what is/tell me> the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> with <ARG-DRUG><0> or <ARG-DRUG><1> <SYN-ARG-prescribed/administered>.,SELECT COUNT( DISTINCT dr1.person_id) FROM (<SCHEMA>.drug_exposure dr1 JOIN (<DRUG-TEMPLATE><ARG-DRUG><0> UNION <DRUG-TEMPLATE><ARG-DRUG><1>) ON dr1.drug_concept_id=concept_id);
Counts of patients taking drug <ARG-DRUG><0> or <ARG-DRUG><1>.,<SYN-ARG-calculate/what's/what is/tell me> the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> got <ARG-DRUG><0> or <ARG-DRUG><1> <SYN-ARG-prescription/administration>.,SELECT COUNT( DISTINCT dr1.person_id) FROM (<SCHEMA>.drug_exposure dr1 JOIN (<DRUG-TEMPLATE><ARG-DRUG><0> UNION <DRUG-TEMPLATE><ARG-DRUG><1>) ON dr1.drug_concept_id=concept_id);
Counts of patients taking drug <ARG-DRUG><0> or <ARG-DRUG><1>.,<SYN-ARG-calculate/what's/what is/tell me> the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> taking <SYN-ARG-one of/one of the following/one of these> <ARG-DRUG><0> or <ARG-DRUG><1>.,SELECT COUNT( DISTINCT dr1.person_id) FROM (<SCHEMA>.drug_exposure dr1 JOIN (<DRUG-TEMPLATE><ARG-DRUG><0> UNION <DRUG-TEMPLATE><ARG-DRUG><1>) ON dr1.drug_concept_id=concept_id);
"Counts of patients taking drug <ARG-DRUG><0>, <ARG-DRUG><1>, <ARG-DRUG><2> and <ARG-DRUG><3> within <ARG-TIMEDAYS><0> days.","<SYN-ARG-calculate/what's/what is/tell me> the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> taking <ARG-DRUG><0>, <ARG-DRUG><1>, <ARG-DRUG><2> and <ARG-DRUG><3> at the same time <SYN-ARG-within/during/for> <ARG-TIMEDAYS><0> days.","SELECT COUNT( DISTINCT a.person_id ) FROM ((((SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) GROUP BY person_id) a JOIN (SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr2 JOIN <DRUG-TEMPLATE><ARG-DRUG><1> ON dr2.drug_concept_id=concept_id) GROUP BY person_id) b ON a.person_id=b.person_id ) JOIN (SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr3 JOIN <DRUG-TEMPLATE><ARG-DRUG><2> ON dr3.drug_concept_id=concept_id) GROUP BY person_id) c ON b.person_id=c.person_id) JOIN (SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr4 JOIN <DRUG-TEMPLATE><ARG-DRUG><3> ON dr4.drug_concept_id=concept_id) GROUP BY person_id) d ON c.person_id=d.person_id) WHERE DATEDIFF(day, GREATEST(a.min_start_date, b.min_start_date, c.min_start_date, d.min_start_date), LEAST(a.min_start_date, b.min_start_date, c.min_start_date, d.min_start_date)) < <ARG-TIMEDAYS><0>;"
"Counts of patients taking drug <ARG-DRUG><0>, <ARG-DRUG><1>, <ARG-DRUG><2> and <ARG-DRUG><3> within <ARG-TIMEDAYS><0> days.","What is the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> who <SYN-ARG-taking/take/are treated with/are on/under/receive/have treatment with/took/were treated with/were treated by/were on/were under/had treatment with/had received> <SYN-ARG-all of the following/all of these> <SYN-ARG-drugs/drug/medicine/medical drugs/medical drug/medications/medication/medicaments/medicament> <ARG-DRUG><0>, <ARG-DRUG><1>, <ARG-DRUG><2> and <ARG-DRUG><3> <SYN-ARG-within/during/for> <ARG-TIMEDAYS><0> days?","SELECT COUNT( DISTINCT a.person_id ) FROM ((((SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) GROUP BY person_id) a JOIN (SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr2 JOIN <DRUG-TEMPLATE><ARG-DRUG><1> ON dr2.drug_concept_id=concept_id) GROUP BY person_id) b ON a.person_id=b.person_id ) JOIN (SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr3 JOIN <DRUG-TEMPLATE><ARG-DRUG><2> ON dr3.drug_concept_id=concept_id) GROUP BY person_id) c ON b.person_id=c.person_id) JOIN (SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr4 JOIN <DRUG-TEMPLATE><ARG-DRUG><3> ON dr4.drug_concept_id=concept_id) GROUP BY person_id) d ON c.person_id=d.person_id) WHERE DATEDIFF(day, GREATEST(a.min_start_date, b.min_start_date, c.min_start_date, d.min_start_date), LEAST(a.min_start_date, b.min_start_date, c.min_start_date, d.min_start_date)) < <ARG-TIMEDAYS><0>;"
"Counts of patients taking drug <ARG-DRUG><0>, <ARG-DRUG><1>, <ARG-DRUG><2> and <ARG-DRUG><3> within <ARG-TIMEDAYS><0> days.","<SYN-ARG-calculate/tell me> what is the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> who <SYN-ARG-taking/take/are treated with/are on/under/receive/have treatment with/took/were treated with/were treated by/were on/were under/had treatment with/had received> <SYN-ARG-all of the following/all of these> <ARG-DRUG><0>, <ARG-DRUG><1>, <ARG-DRUG><2> and <ARG-DRUG><3> <SYN-ARG-within/during/for> <ARG-TIMEDAYS><0> days.","SELECT COUNT( DISTINCT a.person_id ) FROM ((((SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) GROUP BY person_id) a JOIN (SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr2 JOIN <DRUG-TEMPLATE><ARG-DRUG><1> ON dr2.drug_concept_id=concept_id) GROUP BY person_id) b ON a.person_id=b.person_id ) JOIN (SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr3 JOIN <DRUG-TEMPLATE><ARG-DRUG><2> ON dr3.drug_concept_id=concept_id) GROUP BY person_id) c ON b.person_id=c.person_id) JOIN (SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr4 JOIN <DRUG-TEMPLATE><ARG-DRUG><3> ON dr4.drug_concept_id=concept_id) GROUP BY person_id) d ON c.person_id=d.person_id) WHERE DATEDIFF(day, GREATEST(a.min_start_date, b.min_start_date, c.min_start_date, d.min_start_date), LEAST(a.min_start_date, b.min_start_date, c.min_start_date, d.min_start_date)) < <ARG-TIMEDAYS><0>;"
"Counts of patients taking drug <ARG-DRUG><0>, <ARG-DRUG><1>, <ARG-DRUG><2> and <ARG-DRUG><3> within <ARG-TIMEDAYS><0> days.","<SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> taking <ARG-DRUG><0>, <ARG-DRUG><1>, <ARG-DRUG><2> and <ARG-DRUG><3> at the same time <SYN-ARG-within/during/for> <ARG-TIMEDAYS><0> days.","SELECT COUNT( DISTINCT a.person_id ) FROM ((((SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) GROUP BY person_id) a JOIN (SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr2 JOIN <DRUG-TEMPLATE><ARG-DRUG><1> ON dr2.drug_concept_id=concept_id) GROUP BY person_id) b ON a.person_id=b.person_id ) JOIN (SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr3 JOIN <DRUG-TEMPLATE><ARG-DRUG><2> ON dr3.drug_concept_id=concept_id) GROUP BY person_id) c ON b.person_id=c.person_id) JOIN (SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr4 JOIN <DRUG-TEMPLATE><ARG-DRUG><3> ON dr4.drug_concept_id=concept_id) GROUP BY person_id) d ON c.person_id=d.person_id) WHERE DATEDIFF(day, GREATEST(a.min_start_date, b.min_start_date, c.min_start_date, d.min_start_date), LEAST(a.min_start_date, b.min_start_date, c.min_start_date, d.min_start_date)) < <ARG-TIMEDAYS><0>;"
"Counts of patients taking drug <ARG-DRUG><0>, <ARG-DRUG><1>, <ARG-DRUG><2> and <ARG-DRUG><3> within <ARG-TIMEDAYS><0> days.","<SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> with <ARG-DRUG><0>, <ARG-DRUG><1>, <ARG-DRUG><2> and <ARG-DRUG><3> <SYN-ARG-prescribed/administered> <SYN-ARG-within/during/for> <ARG-TIMEDAYS><0> days.","SELECT COUNT( DISTINCT a.person_id ) FROM ((((SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) GROUP BY person_id) a JOIN (SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr2 JOIN <DRUG-TEMPLATE><ARG-DRUG><1> ON dr2.drug_concept_id=concept_id) GROUP BY person_id) b ON a.person_id=b.person_id ) JOIN (SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr3 JOIN <DRUG-TEMPLATE><ARG-DRUG><2> ON dr3.drug_concept_id=concept_id) GROUP BY person_id) c ON b.person_id=c.person_id) JOIN (SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr4 JOIN <DRUG-TEMPLATE><ARG-DRUG><3> ON dr4.drug_concept_id=concept_id) GROUP BY person_id) d ON c.person_id=d.person_id) WHERE DATEDIFF(day, GREATEST(a.min_start_date, b.min_start_date, c.min_start_date, d.min_start_date), LEAST(a.min_start_date, b.min_start_date, c.min_start_date, d.min_start_date)) < <ARG-TIMEDAYS><0>;"
"Counts of patients taking drug <ARG-DRUG><0>, <ARG-DRUG><1>, <ARG-DRUG><2> and <ARG-DRUG><3> within <ARG-TIMEDAYS><0> days.","<SYN-ARG-calculate/what's/what is/tell me> the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> taking <SYN-ARG-all of the following/all of these> <ARG-DRUG><0>, <ARG-DRUG><1>, <ARG-DRUG><2> and <ARG-DRUG><3> <SYN-ARG-within/during/for> <ARG-TIMEDAYS><0> days.","SELECT COUNT( DISTINCT a.person_id ) FROM ((((SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) GROUP BY person_id) a JOIN (SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr2 JOIN <DRUG-TEMPLATE><ARG-DRUG><1> ON dr2.drug_concept_id=concept_id) GROUP BY person_id) b ON a.person_id=b.person_id ) JOIN (SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr3 JOIN <DRUG-TEMPLATE><ARG-DRUG><2> ON dr3.drug_concept_id=concept_id) GROUP BY person_id) c ON b.person_id=c.person_id) JOIN (SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr4 JOIN <DRUG-TEMPLATE><ARG-DRUG><3> ON dr4.drug_concept_id=concept_id) GROUP BY person_id) d ON c.person_id=d.person_id) WHERE DATEDIFF(day, GREATEST(a.min_start_date, b.min_start_date, c.min_start_date, d.min_start_date), LEAST(a.min_start_date, b.min_start_date, c.min_start_date, d.min_start_date)) < <ARG-TIMEDAYS><0>;"
"Counts of patients taking drug <ARG-DRUG><0>, <ARG-DRUG><1>, <ARG-DRUG><2> and <ARG-DRUG><3> within <ARG-TIMEDAYS><0> days.","What is the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> who <SYN-ARG-taking/take/are treated with/are on/under/receive/have treatment with/took/were treated with/were treated by/were on/were under/had treatment with/had received> <SYN-ARG-all of the following/all of these> <ARG-DRUG><0>, <ARG-DRUG><1>, <ARG-DRUG><2> and <ARG-DRUG><3> <SYN-ARG-within/during/for> <ARG-TIMEDAYS><0> days?","SELECT COUNT( DISTINCT a.person_id ) FROM ((((SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) GROUP BY person_id) a JOIN (SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr2 JOIN <DRUG-TEMPLATE><ARG-DRUG><1> ON dr2.drug_concept_id=concept_id) GROUP BY person_id) b ON a.person_id=b.person_id ) JOIN (SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr3 JOIN <DRUG-TEMPLATE><ARG-DRUG><2> ON dr3.drug_concept_id=concept_id) GROUP BY person_id) c ON b.person_id=c.person_id) JOIN (SELECT person_id, MIN(drug_exposure_start_date) AS min_start_date FROM (<SCHEMA>.drug_exposure dr4 JOIN <DRUG-TEMPLATE><ARG-DRUG><3> ON dr4.drug_concept_id=concept_id) GROUP BY person_id) d ON c.person_id=d.person_id) WHERE DATEDIFF(day, GREATEST(a.min_start_date, b.min_start_date, c.min_start_date, d.min_start_date), LEAST(a.min_start_date, b.min_start_date, c.min_start_date, d.min_start_date)) < <ARG-TIMEDAYS><0>;"
